dataset,shots,noise_type,noise_p,meas_seed,r2,mse
lorenz,2048,depolarizing,0.0,11,0.7315417465348908,0.2837164548129635
lorenz,2048,depolarizing,0.0,22,0.7282611298395536,0.28718352995923857
lorenz,2048,depolarizing,0.0,33,0.7302809677987356,0.2850488916768278
lorenz,2048,depolarizing,0.0,44,0.7340046549863797,0.28111356350541006
lorenz,2048,depolarizing,0.0,55,0.7299288798228449,0.28542099106663094
lorenz,2048,depolarizing,0.0,66,0.7304963380793714,0.28482128052423566
lorenz,2048,depolarizing,0.0,77,0.7303057966734858,0.2850226516181587
lorenz,2048,depolarizing,0.0005,11,0.7057401607361835,0.310984509927213
lorenz,2048,depolarizing,0.0005,22,0.700830005517396,0.3161737407043431
lorenz,2048,depolarizing,0.0005,33,0.703652197809495,0.31319114515520374
lorenz,2048,depolarizing,0.0005,44,0.7067285546589139,0.3099399392496637
lorenz,2048,depolarizing,0.0005,55,0.7040527785909314,0.3127677968032405
lorenz,2048,depolarizing,0.0005,66,0.7047252433704401,0.3120571115448581
lorenz,2048,depolarizing,0.0005,77,0.702445934202423,0.314465968446166
lorenz,2048,depolarizing,0.001,11,0.6787572816924732,0.33950099874480655
lorenz,2048,depolarizing,0.001,22,0.6745602823012882,0.3439365404826728
lorenz,2048,depolarizing,0.001,33,0.6778106948532134,0.3405013861746618
lorenz,2048,depolarizing,0.001,44,0.6782633227920141,0.34002303249214966
lorenz,2048,depolarizing,0.001,55,0.6788116739268171,0.3394435150515387
lorenz,2048,depolarizing,0.001,66,0.6784702625223318,0.3398043310520267
lorenz,2048,depolarizing,0.001,77,0.676960474287216,0.34139993021896037
lorenz,2048,depolarizing,0.002,11,0.6266022612907306,0.39462032287839427
lorenz,2048,depolarizing,0.002,22,0.6227244851112437,0.39871849790561575
lorenz,2048,depolarizing,0.002,33,0.6235460110798945,0.39785027935634804
lorenz,2048,depolarizing,0.002,44,0.6269025875925971,0.3943029271099542
lorenz,2048,depolarizing,0.002,55,0.6276385833247418,0.39352510002814045
lorenz,2048,depolarizing,0.002,66,0.6275199344707239,0.3936504924561812
lorenz,2048,depolarizing,0.002,77,0.6239070726320528,0.3974686963644848
lorenz,2048,depolarizing,0.003,11,0.5778388046946796,0.4461553189207324
lorenz,2048,depolarizing,0.003,22,0.5745655315782839,0.4496146331054574
lorenz,2048,depolarizing,0.003,33,0.5746550779883584,0.4495199971995778
lorenz,2048,depolarizing,0.003,44,0.577511001805669,0.4465017529466827
lorenz,2048,depolarizing,0.003,55,0.5771402207926748,0.4468936078185702
lorenz,2048,depolarizing,0.003,66,0.5780922807426561,0.4458874362060695
lorenz,2048,depolarizing,0.003,77,0.5733650658545757,0.45088332898222344
lorenz,2048,depolarizing,0.005,11,0.48154510173116405,0.5479220095439056
lorenz,2048,depolarizing,0.005,22,0.4832293870843074,0.5461419954705096
lorenz,2048,depolarizing,0.005,33,0.4820735577976323,0.547363517935741
lorenz,2048,depolarizing,0.005,44,0.48592139383316724,0.5432969847425441
lorenz,2048,depolarizing,0.005,55,0.4841430724103596,0.5451763795575093
lorenz,2048,depolarizing,0.005,66,0.486602497137276,0.5425771699769003
lorenz,2048,depolarizing,0.005,77,0.4810468692441421,0.5484485597730975
lorenz,2048,depolarizing,0.008,11,0.3637862746854189,0.6723738246813157
lorenz,2048,depolarizing,0.008,22,0.3633397765034143,0.6728457002137074
lorenz,2048,depolarizing,0.008,33,0.36526898586807144,0.6708068415290975
lorenz,2048,depolarizing,0.008,44,0.3700668123517279,0.6657363238483005
lorenz,2048,depolarizing,0.008,55,0.3669029055428775,0.6690800557380048
lorenz,2048,depolarizing,0.008,66,0.36786944847840497,0.6680585779791621
lorenz,2048,depolarizing,0.008,77,0.35963037549253474,0.6767659302334678
lorenz,2048,depolarizing,0.01,11,0.30321575336063067,0.7363869565356336
lorenz,2048,depolarizing,0.01,22,0.3002100855930636,0.7395634556462133
lorenz,2048,depolarizing,0.01,33,0.301470094210571,0.7382318326717703
lorenz,2048,depolarizing,0.01,44,0.30663246124601107,0.7327760552656616
