dataset,shots,noise_type,noise_p,n_runs,r2_mean,r2_std,r2_lo,r2_hi,r2_lo95,r2_hi95,mse_mean,mse_std,mse_lo,mse_hi
lorenz,2048,depolarizing,0.0,7,0.7306885019621802,0.00175800705285207,0.7298621698235133,0.7316402628729504,0.7285112923370473,0.7336352187186563,0.2846181947376379,0.0018579258493023215,0.28361233916066136,0.28549149262233525
lorenz,2048,depolarizing,0.0005,7,0.7040249821265404,0.001982528544586291,0.7023812970550218,0.7057796964930927,0.70107239482015,0.7065802955705044,0.3127971731186697,0.002095208334910177,0.310942727100111,0.3145342793364931
lorenz,2048,depolarizing,0.001,7,0.6776619989107647,0.0015094795293209978,0.6768644666077789,0.678759457381847,0.6749203110991774,0.6788035150916655,0.3406585334595452,0.001595272915411984,0.33949869939707583,0.34150139462950885
lorenz,2048,depolarizing,0.002,7,0.6255487050717121,0.002076787331429539,0.6235131500411485,0.6275246804248845,0.6228477140065413,0.6276207859966391,0.3957337594427312,0.002194824452101458,0.3936454767590596,0.3978850080983187
lorenz,2048,depolarizing,0.003,7,0.5761668547795568,0.0019129636920601943,0.5745175129493356,0.5778489437365987,0.5735451357131319,0.5780542593354596,0.44792229645418763,0.0020216896664262116,0.44614460361214586,0.44966538094052805
lorenz,2048,depolarizing,0.005,7,0.48350883989114984,0.0021544170965333872,0.4815251724316832,0.4859486379653316,0.4811216041171954,0.4865003316416597,0.5458466595714581,0.002276866413780535,0.5432681921519183,0.5479430715530732
lorenz,2048,depolarizing,0.008,7,0.36526636841749277,0.003419683184457233,0.36319140046297915,0.3679573430333379,0.3601867856441667,0.36973720777072944,0.6708096077461508,0.0036140456743447157,0.6679656878139276,0.6730025094144978
lorenz,2048,depolarizing,0.01,7,0.30220499607046786,0.003540617010478799,0.30006212298688123,0.30628087402291526,0.2970658802116882,0.3065775257424023,0.7374551616339678,0.0037418529439776395,0.7331476254416824,0.7397198279146353
lorenz,2048,depolarizing,0.015,7,0.18327367646105408,0.0032009722545246655,0.18104597365230862,0.18645895070476307,0.1783806729820696,0.18732710356202645,0.8631461095943209,0.0033829040019677814,0.8597797958216302,0.8655004270165504
lorenz,2048,depolarizing,0.02,7,0.10920830979890943,0.0035071461721653202,0.10692602869688378,0.11171032984921461,0.10311800014766141,0.1126559514861726,0.9414210852472377,0.003706479743625839,0.9387768593782954,0.9438330829965917
lorenz,2048,depolarizing,0.03,7,0.03253294870401659,0.003299401644656933,0.030280342830099886,0.035353527836007835,0.026931635475104947,0.03543253775581106,1.0224543980269998,0.0034869277645352475,1.0194735073241854,1.0248350339150358
lorenz,2048,depolarizing,0.05,7,-0.012713402596480794,0.0038555388766746213,-0.015832371044624285,-0.010014831940981067,-0.0193633230732305,-0.00943099527384993,1.0702723891615784,0.004074673836115971,1.0674204414581334,1.0735686285558192
lorenz,2048,depolarizing,0.08,7,-0.024689747580242276,0.004189804917301445,-0.028310939647375202,-0.021684535911213994,-0.03184965624740264,-0.021432681748408223,1.0829294265092917,0.004427938355969266,1.079753409420251,1.0867564341062748
lorenz,2048,depolarizing,0.1,7,-0.026415300371418007,0.004296801083900286,-0.030166407772147057,-0.023292567579923994,-0.033722763313635565,-0.02280444535248982,1.0847530535134382,0.004541015799758702,1.0814528358241133,1.0887173603642084
lorenz,2048,bit_flip,0.0,7,0.7306885019621802,0.00175800705285207,0.7298621698235133,0.7316402628729504,0.7285112923370473,0.7336352187186563,0.2846181947376379,0.0018579258493023215,0.28361233916066136,0.28549149262233525
lorenz,2048,bit_flip,0.0005,7,0.7017254125823104,0.0017130532938759702,0.6999035958924724,0.7034297411021739,0.6993126197489705,0.7037434792322426,0.31522744192308766,0.0018104170803872049,0.3134262455014804,0.31715280411958685
lorenz,2048,bit_flip,0.001,7,0.6733298134685072,0.001340699955681012,0.6719216399583802,0.6743666315353232,0.6712996915825543,0.6745568482911212,0.34523694473729505,0.0014169005179911517,0.3441411976615162,0.3467251537638307
lorenz,2048,bit_flip,0.002,7,0.6176499255892803,0.0021783190822960955,0.614984659745781,0.619114100095305,0.6149672252772904,0.6203968315140795,0.4040814771350694,0.0023021269024265686,0.402534084217493,0.406898227100814
lorenz,2048,bit_flip,0.003,7,0.5639264499856056,0.0022341427263319483,0.5621969526647451,0.5656128093309971,0.5612230436405395,0.5671648772354634,0.46085840182174626,0.0023611233615637743,0.4590761958778438,0.46268619754845447
