dataset,noise_type,noise_p,shots,meas_seed,r2,mse
lorenz,depolarizing,0.0,None,None,0.9801484308794094,0.02097986089334549
lorenz,depolarizing,0.0005,None,None,0.9772843966194693,0.024006676557251593
lorenz,depolarizing,0.001,None,None,0.9695135483739381,0.03221919186141673
lorenz,depolarizing,0.002,None,None,0.9424503456390241,0.060820569679857446
lorenz,depolarizing,0.003,None,None,0.9043417530030575,0.10109511762551428
lorenz,depolarizing,0.005,None,None,0.8100517751790444,0.2007441985806609
lorenz,depolarizing,0.008,None,None,0.6573612011032002,0.36211315558233126
lorenz,depolarizing,0.01,None,None,0.5619330096031301,0.46296514218415596
lorenz,depolarizing,0.015,None,None,0.3675206231308331,0.6684272293045902
lorenz,depolarizing,0.02,None,None,0.23474699421106082,0.8087472336387673
lorenz,depolarizing,0.03,None,None,0.0914846699826457,0.9601520729898283
lorenz,depolarizing,0.05,None,None,0.002567086853522693,1.054123411662828
lorenz,depolarizing,0.08,None,None,-0.021483188739941594,1.0795406184001102
lorenz,depolarizing,0.1,None,None,-0.024701841316103312,1.082942207609592
lorenz,bit_flip,0.0,None,None,0.9801484308794094,0.02097986089334549
lorenz,bit_flip,0.0005,None,None,0.9770344024947799,0.02427087944863396
lorenz,bit_flip,0.001,None,None,0.968126940925258,0.03368460908915675
lorenz,bit_flip,0.002,None,None,0.9370517105047426,0.06652604381357081
lorenz,bit_flip,0.003,None,None,0.8937287617439349,0.1123113131275482
lorenz,bit_flip,0.005,None,None,0.7886537244550915,0.22335843752823317
lorenz,bit_flip,0.008,None,None,0.6239516384505848,0.397421597585153
lorenz,bit_flip,0.01,None,None,0.5241135513076506,0.5029341224335739
lorenz,bit_flip,0.015,None,None,0.32788994604357236,0.7103103715060508
lorenz,bit_flip,0.02,None,None,0.19970904927052435,0.845776609320647
lorenz,bit_flip,0.03,None,None,0.06771469857801649,0.985273044056577
lorenz,bit_flip,0.05,None,None,-0.009229853534542753,1.0665908477030344
lorenz,bit_flip,0.08,None,None,-0.027469543183905376,1.0858672156947469
lorenz,bit_flip,0.1,None,None,-0.02888311029478774,1.0873611248749013
lorenz,phase_flip,0.0,None,None,0.9801484308794094,0.02097986089334549
lorenz,phase_flip,0.0005,None,None,0.9784837224687482,0.0227391853412768
lorenz,phase_flip,0.001,None,None,0.9740185310108725,0.027458162218082945
lorenz,phase_flip,0.002,None,None,0.9581163896235385,0.044264124113887644
lorenz,phase_flip,0.003,None,None,0.9349305799113036,0.06876773183916937
lorenz,phase_flip,0.005,None,None,0.8742058157354616,0.13294387315330589
lorenz,phase_flip,0.008,None,None,0.7661363327783447,0.24715563674152474
lorenz,phase_flip,0.01,None,None,0.6918719098907397,0.3256409822596517
lorenz,phase_flip,0.015,None,None,0.5195384406330523,0.5077692659399464
lorenz,phase_flip,0.02,None,None,0.3771288460397545,0.6582729095711266
lorenz,phase_flip,0.03,None,None,0.17446370144619416,0.872456811895123
lorenz,phase_flip,0.05,None,None,-0.046575455041571345,1.1060590388488467
lorenz,phase_flip,0.08,None,None,-0.2148955007370561,1.2839457904099625
lorenz,phase_flip,0.1,None,None,-0.2877553459082671,1.3609467270672666
lorenz,amplitude_damp,0.0,None,None,0.9801484308794094,0.02097986089334549
lorenz,amplitude_damp,0.0005,None,None,0.9783062193702146,0.02292677707736331
lorenz,amplitude_damp,0.001,None,None,0.9745866045816689,0.026857801389168302
lorenz,amplitude_damp,0.002,None,None,0.9620436646988911,0.04011363685163187
lorenz,amplitude_damp,0.003,None,None,0.9434906000608274,0.05972119093903607
lorenz,amplitude_damp,0.005,None,None,0.8916247415698739,0.11453491823908606
lorenz,amplitude_damp,0.008,None,None,0.7865705767773046,0.2255599838258976
lorenz,amplitude_damp,0.01,None,None,0.704021905940487,0.31280042414407183
lorenz,amplitude_damp,0.015,None,None,0.4722763738236415,0.5577175386014246
lorenz,amplitude_damp,0.02,None,None,0.22237195050664293,0.8218256303080999
lorenz,amplitude_damp,0.03,None,None,-0.29254871405815375,1.3660125330186415
lorenz,amplitude_damp,0.05,None,None,-1.3272675924224986,2.4595411100259863
lorenz,amplitude_damp,0.08,None,None,-2.8641046009856868,4.083726405381701
lorenz,amplitude_damp,0.1,None,None,-3.84948436458611,5.125111609839507
